Enrollment,Program,CGPA,12th Percentage,Board,Medium of Education,Native,Mode of Transportation,Family Annual Income(in lakhs),laptop,Members Earning in Family,Gender,Disability Status,Family Structure,Number of Students in Family,Intrested in higher studies in India,Interested in Higher Studies Abroad,Education Loan Taken,Father's Occupation,Extracurricular Participation,Achievements/Recognition in Extracurricular Activities,Community Service Participation,Positions of Responsibility Held,Internet Access,Distance from Home to University,Parents' Education Level,Chronic Illness or Disability
1863,BBA,5.06,50.94,ICSE,English,Vadodara,Personal car,10-15,No,5,Female,Yes,Both parents,4,No,No,No,Farmer,Yes,Yes,Yes,Yes,No,22.8,High School,No
1864,CSE,5.7,57.78,CBSE,Marathi,Bharuch,Personal car,10-15,Yes,1,Male,Yes,Orphaned,4,Yes,Yes,Yes,Other,No,Yes,Yes,No,No,8.1,Postgraduate,No
1865,CSE,9.35,56.74,State Board,Hindi,Bharuch,Personal bike,Below 5,Yes,3,Male,No,Orphaned,2,Yes,Yes,Yes,Business,No,Yes,No,No,No,3.6,Undergraduate,Yes
1866,FEHS,8.96,61.56,State Board,Gujarati,Rajkot,University Bus,Below 5,Yes,3,Other,Yes,Both parents,4,No,No,No,Labour,No,No,Yes,No,No,5.0,High School,Yes
1867,CSE,7.46,92.07,State Board,Marathi,Ahmedabad,Public Transport,10-15,No,3,Male,No,Single-parent,5,No,No,No,Labour,No,No,Yes,No,Yes,33.6,High School,Yes
1868,BBA,9.45,66.93,State Board,Marathi,Surat,University Bus,15-20,No,3,Other,Yes,Orphaned,1,No,No,No,Govt. Employee,No,Yes,Yes,Yes,No,15.9,High School,No
1869,BBA,6.19,98.23,CBSE,Hindi,Surat,Public Transport,5-10,No,2,Male,Yes,Single-parent,3,Yes,Yes,Yes,Labour,No,No,Yes,Yes,No,23.4,Postgraduate,Yes
1870,CSE,8.62,77.7,ICSE,Hindi,Bharuch,Public Transport,15-20,Yes,2,Other,Yes,Single-parent,1,No,No,Yes,Labour,Yes,No,Yes,Yes,Yes,10.3,Postgraduate,No
1871,FEHS,5.98,52.48,State Board,Gujarati,Vadodara,University Bus,10-15,Yes,4,Male,No,Single-parent,3,No,Yes,No,Govt. Employee,Yes,No,Yes,Yes,Yes,25.3,Undergraduate,Yes
1872,Chemical,6.5,52.12,CBSE,Gujarati,Rajkot,University Bus,Below 5,Yes,3,Other,Yes,Both parents,5,Yes,No,Yes,Business,No,No,Yes,Yes,Yes,26.2,High School,Yes
1873,FEHS,7.78,71.97,State Board,Marathi,Ahmedabad,Personal car,10-15,Yes,2,Male,Yes,Orphaned,3,Yes,No,No,Farmer,Yes,No,Yes,No,No,12.7,Undergraduate,No
1874,FEHS,6.52,58.22,State Board,Marathi,Ahmedabad,Public Transport,Above 20,No,2,Female,No,Orphaned,2,No,Yes,Yes,Other,No,No,No,No,Yes,9.2,Postgraduate,No
1875,BBA,7.24,84.8,State Board,Gujarati,Surat,Personal bike,Below 5,Yes,3,Other,Yes,Both parents,1,Yes,No,No,Other,No,No,Yes,No,No,21.9,Postgraduate,Yes
1876,FEHS,6.11,73.46,State Board,Hindi,Vadodara,Personal car,10-15,Yes,2,Female,Yes,Single-parent,1,No,Yes,Yes,Business,Yes,No,Yes,Yes,No,47.4,Undergraduate,Yes
1877,CSE,5.32,74.63,State Board,Gujarati,Vadodara,University Bus,5-10,No,4,Male,Yes,Both parents,1,Yes,Yes,Yes,Labour,No,No,Yes,Yes,Yes,18.0,Postgraduate,No
1878,BBA,6.26,64.36,State Board,Gujarati,Bharuch,Personal bike,Below 5,No,1,Male,No,Orphaned,1,Yes,No,Yes,Farmer,No,No,No,Yes,Yes,1.1,Postgraduate,No
1879,CSE,6.51,81.75,State Board,Marathi,Ahmedabad,Personal car,5-10,Yes,4,Female,Yes,Single-parent,5,No,No,No,Farmer,No,No,Yes,No,No,24.6,Postgraduate,Yes
1880,BBA,6.72,81.26,CBSE,Marathi,Ahmedabad,Public Transport,15-20,No,3,Other,No,Single-parent,3,No,No,No,Govt. Employee,Yes,No,No,Yes,No,32.8,Undergraduate,No
1881,BBA,8.17,94.41,State Board,English,Bharuch,Personal bike,5-10,Yes,1,Male,No,Both parents,3,No,No,No,Labour,No,Yes,Yes,Yes,No,36.0,High School,Yes
1882,CSE,7.53,63.19,State Board,Gujarati,Ahmedabad,Personal car,10-15,No,5,Female,Yes,Both parents,1,Yes,Yes,Yes,Business,Yes,Yes,Yes,Yes,No,43.7,Postgraduate,Yes
1883,FEHS,6.57,89.17,State Board,Gujarati,Vadodara,Public Transport,5-10,Yes,4,Other,Yes,Orphaned,2,Yes,No,No,Business,No,Yes,Yes,Yes,Yes,12.1,Undergraduate,No
1884,CSE,5.25,60.09,CBSE,Gujarati,Bharuch,Public Transport,15-20,No,2,Male,Yes,Both parents,5,Yes,No,Yes,Govt. Employee,Yes,Yes,No,Yes,No,26.8,Postgraduate,No
1885,Chemical,5.85,75.89,ICSE,Marathi,Vadodara,Personal car,Below 5,Yes,5,Male,No,Both parents,3,No,No,Yes,Labour,No,Yes,Yes,No,No,21.3,Postgraduate,No
1886,FEHS,7.7,68.14,State Board,Hindi,Ahmedabad,University Bus,15-20,Yes,2,Male,No,Single-parent,4,No,Yes,No,Other,Yes,Yes,No,No,No,33.4,Undergraduate,Yes
1887,CSE,6.53,56.05,CBSE,English,Rajkot,Personal car,10-15,Yes,1,Male,No,Single-parent,5,Yes,Yes,Yes,Govt. Employee,No,No,Yes,Yes,Yes,42.2,Undergraduate,Yes
1888,Chemical,6.68,54.23,ICSE,English,Bharuch,Personal bike,Above 20,No,1,Male,Yes,Single-parent,3,No,No,No,Other,Yes,Yes,Yes,Yes,Yes,9.1,Undergraduate,Yes
1889,Chemical,6.75,70.76,State Board,English,Rajkot,Public Transport,15-20,Yes,2,Female,Yes,Both parents,5,Yes,Yes,Yes,Govt. Employee,Yes,Yes,No,Yes,Yes,38.2,High School,No
1890,FEHS,7.95,69.62,ICSE,English,Bharuch,University Bus,Above 20,Yes,2,Female,Yes,Orphaned,5,Yes,No,No,Farmer,Yes,No,Yes,Yes,No,30.5,Undergraduate,No
1891,FEHS,8.88,65.87,ICSE,Gujarati,Surat,University Bus,Above 20,Yes,2,Other,Yes,Orphaned,5,No,Yes,No,Labour,No,Yes,No,Yes,Yes,36.2,Undergraduate,No
1892,Chemical,5.38,78.0,ICSE,Marathi,Rajkot,Personal car,10-15,Yes,3,Other,Yes,Orphaned,1,No,Yes,No,Govt. Employee,No,No,Yes,Yes,No,8.5,High School,Yes
1893,BBA,5.7,98.61,State Board,Hindi,Vadodara,Personal bike,5-10,No,2,Male,Yes,Single-parent,4,No,No,No,Other,Yes,Yes,Yes,Yes,No,20.1,Undergraduate,Yes
1894,Chemical,8.44,95.35,State Board,Hindi,Bharuch,Personal bike,10-15,No,5,Male,Yes,Both parents,4,Yes,Yes,No,Farmer,No,No,Yes,No,No,4.3,Postgraduate,Yes
1895,FEHS,9.96,75.71,State Board,Hindi,Bharuch,Personal bike,5-10,No,3,Other,No,Single-parent,3,Yes,No,Yes,Farmer,Yes,No,Yes,Yes,Yes,41.5,Undergraduate,Yes
1896,Chemical,6.52,74.2,State Board,Marathi,Surat,Personal car,Below 5,No,4,Other,No,Single-parent,3,Yes,Yes,No,Govt. Employee,No,No,No,Yes,No,43.2,Postgraduate,Yes
1897,CSE,8.89,65.89,ICSE,Marathi,Surat,Public Transport,Above 20,Yes,1,Female,No,Both parents,5,Yes,No,No,Other,No,Yes,No,No,No,7.5,High School,No
1898,BBA,6.75,90.13,ICSE,Hindi,Vadodara,Public Transport,15-20,No,1,Male,Yes,Both parents,4,Yes,No,Yes,Govt. Employee,Yes,No,No,Yes,Yes,27.9,Postgraduate,Yes
1899,Chemical,6.55,67.57,State Board,English,Surat,Personal bike,Above 20,Yes,5,Female,No,Orphaned,4,No,Yes,Yes,Labour,Yes,Yes,Yes,Yes,Yes,18.3,Undergraduate,No
1900,BBA,9.42,66.52,CBSE,Gujarati,Surat,University Bus,Above 20,Yes,3,Female,No,Orphaned,4,No,No,Yes,Govt. Employee,Yes,No,No,Yes,No,2.3,High School,No
1901,Chemical,7.23,83.75,ICSE,Gujarati,Vadodara,Public Transport,Above 20,Yes,3,Female,Yes,Orphaned,1,Yes,Yes,Yes,Business,Yes,Yes,Yes,No,No,45.9,Postgraduate,No
1902,Chemical,7.43,70.37,CBSE,Marathi,Bharuch,University Bus,Below 5,No,2,Male,Yes,Orphaned,2,No,Yes,Yes,Farmer,Yes,Yes,Yes,No,No,24.7,High School,Yes
1903,Chemical,7.11,53.47,ICSE,English,Surat,University Bus,10-15,Yes,1,Other,Yes,Both parents,4,No,Yes,Yes,Govt. Employee,No,Yes,No,No,No,46.2,Undergraduate,No
1904,CSE,5.66,57.38,State Board,Gujarati,Vadodara,Public Transport,15-20,Yes,4,Female,No,Both parents,1,No,Yes,Yes,Labour,Yes,No,No,Yes,No,16.3,Postgraduate,No
1905,Chemical,8.13,86.18,State Board,Gujarati,Rajkot,Personal car,Below 5,Yes,5,Female,No,Orphaned,3,Yes,Yes,Yes,Labour,No,No,Yes,Yes,No,46.9,Postgraduate,No
1906,BBA,8.54,77.72,CBSE,Gujarati,Surat,Public Transport,5-10,Yes,5,Other,Yes,Both parents,5,Yes,No,No,Other,Yes,Yes,No,Yes,Yes,29.5,High School,No
1907,CSE,7.38,63.66,State Board,Hindi,Bharuch,University Bus,10-15,No,2,Other,No,Both parents,4,No,No,Yes,Labour,Yes,Yes,No,No,No,30.2,Undergraduate,Yes
1908,FEHS,9.35,59.06,CBSE,Hindi,Bharuch,Personal bike,Below 5,Yes,3,Male,No,Orphaned,5,No,Yes,Yes,Farmer,Yes,No,No,Yes,No,48.7,High School,No
1909,Chemical,7.21,54.06,ICSE,Hindi,Vadodara,Personal bike,Above 20,Yes,4,Male,No,Single-parent,5,Yes,Yes,No,Farmer,Yes,Yes,Yes,Yes,Yes,36.8,Undergraduate,Yes
1910,CSE,5.01,84.66,CBSE,Gujarati,Surat,Personal bike,15-20,No,4,Male,Yes,Orphaned,2,No,Yes,Yes,Farmer,No,No,No,No,Yes,49.3,High School,Yes
1911,CSE,9.98,94.45,State Board,English,Vadodara,University Bus,Below 5,No,5,Other,No,Single-parent,3,Yes,Yes,No,Labour,No,No,No,No,No,42.4,Postgraduate,No
1912,BBA,8.78,81.65,ICSE,Marathi,Ahmedabad,Public Transport,10-15,Yes,3,Female,Yes,Both parents,2,Yes,No,Yes,Business,Yes,Yes,No,No,Yes,41.9,Undergraduate,Yes
1913,BBA,7.16,63.77,State Board,Gujarati,Vadodara,Public Transport,15-20,Yes,4,Other,No,Single-parent,4,No,No,No,Business,Yes,Yes,Yes,Yes,No,11.8,High School,No
1914,Chemical,8.49,88.77,ICSE,Gujarati,Ahmedabad,University Bus,Below 5,Yes,4,Female,Yes,Both parents,4,No,Yes,No,Labour,No,No,Yes,Yes,Yes,43.4,High School,Yes
1915,CSE,8.61,79.16,CBSE,English,Bharuch,Public Transport,Above 20,No,4,Female,No,Orphaned,2,No,No,Yes,Other,Yes,Yes,Yes,Yes,No,48.0,Undergraduate,Yes
1916,Chemical,9.15,83.22,State Board,Marathi,Bharuch,Personal bike,10-15,No,5,Female,Yes,Both parents,4,No,No,Yes,Labour,Yes,No,Yes,Yes,No,16.0,Postgraduate,Yes
1917,CSE,8.76,85.79,ICSE,Gujarati,Bharuch,Public Transport,10-15,No,4,Female,No,Orphaned,5,No,Yes,No,Labour,Yes,Yes,No,Yes,No,26.9,High School,Yes
1918,FEHS,6.26,51.19,State Board,English,Bharuch,Personal car,Below 5,No,5,Other,Yes,Orphaned,2,No,Yes,No,Labour,No,No,Yes,Yes,Yes,17.4,High School,No
1919,Chemical,7.44,57.74,CBSE,Gujarati,Ahmedabad,Public Transport,15-20,No,3,Other,No,Both parents,1,No,Yes,No,Farmer,No,Yes,No,Yes,No,44.3,Undergraduate,No
1920,FEHS,6.82,89.77,ICSE,Marathi,Vadodara,University Bus,Above 20,Yes,5,Other,No,Single-parent,1,No,Yes,No,Other,No,Yes,Yes,Yes,No,41.2,High School,No
1921,BBA,8.25,51.9,State Board,Marathi,Rajkot,University Bus,Above 20,No,1,Female,Yes,Single-parent,3,No,No,No,Govt. Employee,No,Yes,No,No,No,31.2,Undergraduate,No
1922,BBA,8.1,66.31,State Board,English,Surat,University Bus,5-10,No,1,Other,Yes,Single-parent,3,Yes,No,Yes,Govt. Employee,No,Yes,No,Yes,No,13.0,Postgraduate,Yes
1923,FEHS,7.37,52.59,CBSE,Marathi,Ahmedabad,University Bus,5-10,Yes,3,Other,Yes,Both parents,4,No,Yes,Yes,Other,Yes,No,No,No,Yes,12.9,High School,No
1924,Chemical,5.77,85.65,State Board,Hindi,Surat,Public Transport,5-10,Yes,1,Other,No,Single-parent,5,Yes,Yes,Yes,Farmer,No,No,Yes,Yes,Yes,45.2,Postgraduate,Yes
1925,Chemical,5.43,57.07,ICSE,English,Ahmedabad,Personal car,Below 5,No,1,Male,No,Single-parent,3,No,No,Yes,Labour,Yes,No,No,No,Yes,39.6,High School,No
1926,FEHS,6.73,81.47,CBSE,English,Bharuch,Personal car,15-20,No,5,Other,No,Both parents,2,No,Yes,Yes,Labour,No,Yes,No,Yes,No,5.3,Postgraduate,Yes
1927,BBA,6.76,88.16,CBSE,Marathi,Surat,Personal bike,10-15,Yes,2,Female,No,Single-parent,5,No,No,Yes,Farmer,No,No,No,Yes,Yes,28.1,Undergraduate,Yes
1928,CSE,8.12,94.47,ICSE,English,Bharuch,Personal car,5-10,No,3,Male,Yes,Single-parent,2,Yes,Yes,No,Farmer,No,Yes,Yes,No,No,31.0,Postgraduate,Yes
1929,CSE,8.84,88.01,State Board,Hindi,Ahmedabad,Personal bike,10-15,No,4,Female,No,Single-parent,1,Yes,No,No,Other,No,No,Yes,No,No,29.1,High School,No
1930,CSE,8.79,61.72,State Board,Hindi,Ahmedabad,University Bus,5-10,No,2,Female,No,Orphaned,4,No,No,Yes,Other,No,Yes,Yes,Yes,No,12.7,Postgraduate,Yes
1931,BBA,8.33,97.2,State Board,English,Ahmedabad,University Bus,Below 5,No,2,Female,No,Single-parent,3,No,Yes,Yes,Farmer,Yes,Yes,Yes,Yes,No,28.6,High School,Yes
1932,Chemical,6.08,68.43,State Board,Marathi,Ahmedabad,Public Transport,15-20,No,5,Female,Yes,Single-parent,2,No,No,No,Other,No,No,No,No,No,36.6,High School,Yes
1933,BBA,8.92,72.1,State Board,Gujarati,Vadodara,University Bus,Below 5,No,4,Female,No,Single-parent,3,No,Yes,Yes,Govt. Employee,No,Yes,Yes,No,Yes,7.2,High School,Yes
1934,CSE,9.04,80.84,CBSE,Gujarati,Vadodara,Public Transport,5-10,Yes,3,Other,No,Both parents,1,Yes,No,No,Other,No,No,No,Yes,No,21.6,High School,Yes
1935,BBA,9.52,94.18,ICSE,Marathi,Vadodara,Personal bike,Above 20,No,4,Other,Yes,Orphaned,5,No,No,Yes,Govt. Employee,Yes,No,No,No,Yes,15.7,Undergraduate,Yes
1936,FEHS,8.26,76.6,ICSE,Hindi,Vadodara,Personal car,15-20,No,3,Female,No,Single-parent,4,Yes,No,Yes,Govt. Employee,Yes,No,No,Yes,No,30.2,Postgraduate,No
1937,CSE,8.8,96.98,State Board,Hindi,Bharuch,Personal car,Above 20,No,2,Male,No,Single-parent,1,Yes,No,No,Labour,Yes,Yes,Yes,Yes,No,3.3,Undergraduate,No
1938,BBA,5.06,50.73,State Board,English,Rajkot,Personal bike,Below 5,No,5,Other,No,Orphaned,4,Yes,No,No,Business,No,Yes,No,No,No,8.0,Undergraduate,Yes
1939,CSE,5.78,74.18,State Board,Gujarati,Rajkot,Public Transport,15-20,Yes,4,Other,No,Both parents,1,Yes,Yes,Yes,Business,Yes,No,No,Yes,Yes,2.8,High School,Yes
1940,FEHS,9.57,82.4,CBSE,Hindi,Ahmedabad,Public Transport,15-20,Yes,3,Female,No,Orphaned,3,Yes,No,Yes,Labour,Yes,No,Yes,Yes,Yes,41.7,High School,No
1941,CSE,5.97,70.26,ICSE,Marathi,Vadodara,Personal bike,Above 20,Yes,2,Female,No,Orphaned,3,No,No,Yes,Other,Yes,No,Yes,No,Yes,7.9,Postgraduate,No
1942,CSE,8.13,59.39,CBSE,English,Ahmedabad,University Bus,15-20,No,1,Other,Yes,Both parents,3,Yes,Yes,Yes,Labour,No,No,No,Yes,Yes,11.0,High School,No
1943,FEHS,8.16,68.93,State Board,Marathi,Surat,University Bus,Above 20,No,4,Female,Yes,Orphaned,3,Yes,Yes,Yes,Govt. Employee,Yes,Yes,No,Yes,No,29.6,Postgraduate,No
1944,CSE,8.83,57.77,State Board,Hindi,Vadodara,Personal bike,10-15,No,1,Female,Yes,Both parents,3,Yes,Yes,No,Labour,Yes,Yes,Yes,No,Yes,37.8,High School,No
1945,BBA,8.56,86.63,ICSE,English,Bharuch,Public Transport,15-20,No,2,Other,No,Both parents,1,Yes,No,Yes,Business,Yes,Yes,No,No,Yes,28.6,High School,No
1946,Chemical,7.81,95.83,ICSE,Gujarati,Surat,Personal car,Above 20,Yes,1,Female,No,Both parents,3,Yes,Yes,No,Business,No,No,Yes,No,No,28.9,Postgraduate,No
1947,FEHS,7.17,98.92,ICSE,Hindi,Bharuch,Personal bike,Below 5,No,1,Female,Yes,Both parents,1,Yes,No,No,Other,No,No,Yes,No,Yes,23.1,Postgraduate,No
1948,Chemical,6.63,90.04,State Board,English,Vadodara,University Bus,5-10,Yes,4,Other,No,Single-parent,5,Yes,No,No,Other,No,Yes,Yes,No,No,17.4,Postgraduate,No
1949,CSE,5.39,88.29,State Board,Marathi,Vadodara,University Bus,10-15,No,2,Other,No,Single-parent,3,Yes,No,No,Govt. Employee,No,Yes,Yes,Yes,Yes,40.8,Postgraduate,Yes
1950,FEHS,6.14,50.02,State Board,English,Vadodara,University Bus,10-15,Yes,5,Other,Yes,Both parents,5,No,No,No,Labour,No,Yes,No,No,No,18.5,High School,Yes
1951,Chemical,7.39,54.07,CBSE,Marathi,Ahmedabad,Public Transport,5-10,Yes,5,Male,No,Both parents,1,Yes,No,No,Farmer,Yes,No,No,No,Yes,7.2,High School,Yes
1952,FEHS,5.56,81.22,ICSE,Hindi,Bharuch,University Bus,15-20,No,1,Other,Yes,Single-parent,4,No,Yes,Yes,Govt. Employee,No,Yes,No,Yes,Yes,26.8,High School,Yes
1953,BBA,8.52,82.96,State Board,Hindi,Bharuch,Public Transport,Below 5,No,5,Male,Yes,Single-parent,4,Yes,Yes,No,Farmer,Yes,Yes,No,Yes,Yes,41.4,Postgraduate,Yes
1954,BBA,6.89,68.83,CBSE,English,Bharuch,University Bus,Below 5,Yes,3,Female,Yes,Single-parent,3,No,Yes,Yes,Labour,Yes,Yes,No,No,No,12.4,Undergraduate,Yes
1955,Chemical,9.26,57.7,ICSE,English,Ahmedabad,Personal car,15-20,Yes,1,Male,Yes,Both parents,3,Yes,Yes,No,Other,Yes,No,Yes,Yes,Yes,23.3,High School,No
1956,CSE,8.49,81.16,CBSE,Gujarati,Ahmedabad,Personal bike,Below 5,Yes,2,Female,No,Both parents,3,Yes,Yes,No,Govt. Employee,No,Yes,No,No,No,12.7,Undergraduate,No
1957,BBA,8.18,84.61,State Board,Marathi,Rajkot,Personal bike,Above 20,No,2,Other,No,Orphaned,3,Yes,Yes,Yes,Govt. Employee,No,Yes,Yes,Yes,No,19.9,Undergraduate,No
1958,FEHS,9.16,60.31,CBSE,Marathi,Rajkot,University Bus,15-20,No,1,Other,Yes,Single-parent,1,Yes,Yes,Yes,Farmer,Yes,No,Yes,Yes,Yes,47.4,Undergraduate,Yes
1959,CSE,8.39,79.94,CBSE,Marathi,Ahmedabad,Public Transport,15-20,Yes,4,Other,No,Orphaned,1,No,Yes,No,Govt. Employee,No,No,No,No,Yes,20.6,Undergraduate,No
1960,CSE,8.55,93.42,CBSE,English,Surat,Personal car,10-15,Yes,3,Other,Yes,Single-parent,2,No,Yes,No,Farmer,No,No,No,Yes,Yes,23.9,Undergraduate,No
1961,BBA,7.16,63.5,State Board,Marathi,Vadodara,Public Transport,10-15,No,1,Female,Yes,Orphaned,1,Yes,No,No,Farmer,No,Yes,Yes,Yes,No,42.5,Undergraduate,Yes
1962,FEHS,9.24,57.98,CBSE,Hindi,Bharuch,Personal car,Above 20,Yes,2,Female,Yes,Single-parent,3,Yes,Yes,Yes,Govt. Employee,Yes,No,Yes,Yes,Yes,48.9,Undergraduate,Yes
1963,BBA,8.64,85.34,State Board,Marathi,Rajkot,University Bus,10-15,Yes,3,Other,Yes,Both parents,5,No,Yes,No,Other,No,Yes,Yes,Yes,No,7.8,Postgraduate,No
1964,FEHS,8.0,98.32,State Board,Gujarati,Vadodara,Public Transport,10-15,No,3,Other,No,Orphaned,5,No,Yes,Yes,Business,Yes,No,Yes,No,No,31.8,High School,Yes
1965,FEHS,5.88,54.98,State Board,Hindi,Surat,University Bus,Below 5,No,1,Other,No,Single-parent,5,Yes,No,Yes,Govt. Employee,No,No,No,Yes,Yes,33.7,Postgraduate,No
1966,FEHS,9.08,94.27,ICSE,Hindi,Bharuch,University Bus,Above 20,No,2,Other,Yes,Orphaned,5,No,No,No,Farmer,Yes,Yes,No,Yes,Yes,24.9,Postgraduate,No
1967,FEHS,9.91,97.85,State Board,Hindi,Bharuch,Public Transport,Above 20,No,5,Male,Yes,Both parents,3,Yes,No,No,Farmer,Yes,Yes,No,No,Yes,24.5,Undergraduate,No
1968,BBA,6.05,66.47,State Board,Marathi,Bharuch,Public Transport,15-20,No,1,Male,No,Orphaned,1,No,No,Yes,Govt. Employee,Yes,No,No,No,Yes,14.4,Undergraduate,No
1969,BBA,7.68,92.11,State Board,Hindi,Vadodara,Personal car,10-15,No,3,Male,Yes,Orphaned,5,No,No,Yes,Farmer,No,Yes,No,Yes,Yes,13.6,Undergraduate,No
1970,Chemical,6.25,75.1,CBSE,English,Rajkot,Public Transport,Below 5,No,3,Female,No,Orphaned,5,Yes,Yes,No,Govt. Employee,Yes,No,No,No,No,4.3,High School,No
1971,BBA,7.62,87.03,CBSE,English,Vadodara,University Bus,15-20,Yes,5,Other,Yes,Orphaned,4,No,Yes,Yes,Labour,Yes,No,No,No,No,49.8,High School,No
1972,CSE,9.03,76.78,CBSE,Marathi,Ahmedabad,Personal bike,Above 20,Yes,5,Male,Yes,Both parents,4,Yes,No,Yes,Farmer,No,No,Yes,Yes,Yes,37.4,High School,Yes
1973,BBA,8.43,62.39,CBSE,Marathi,Surat,Personal car,Below 5,Yes,5,Female,Yes,Orphaned,3,No,Yes,Yes,Other,No,No,Yes,Yes,Yes,2.0,High School,No
1974,CSE,5.92,80.65,CBSE,Marathi,Surat,Public Transport,15-20,No,3,Female,No,Orphaned,1,Yes,No,No,Labour,Yes,Yes,No,Yes,No,16.9,High School,Yes
1975,BBA,5.42,57.48,ICSE,Marathi,Rajkot,Personal bike,10-15,Yes,4,Male,Yes,Single-parent,5,Yes,Yes,Yes,Labour,No,Yes,Yes,No,No,34.6,High School,No
1976,BBA,6.34,51.89,ICSE,Gujarati,Vadodara,University Bus,5-10,No,2,Female,Yes,Both parents,4,Yes,No,No,Business,No,Yes,No,Yes,Yes,29.4,Undergraduate,Yes
1977,BBA,6.81,85.5,ICSE,English,Ahmedabad,Personal bike,Above 20,Yes,3,Female,Yes,Single-parent,4,No,No,No,Govt. Employee,No,Yes,No,No,Yes,3.0,Postgraduate,Yes
1978,FEHS,5.98,85.62,CBSE,Hindi,Surat,Personal bike,10-15,No,5,Other,Yes,Both parents,2,No,Yes,Yes,Labour,No,Yes,No,No,No,27.1,Undergraduate,No
1979,BBA,6.23,84.48,ICSE,Marathi,Rajkot,Public Transport,Above 20,Yes,1,Female,No,Both parents,5,Yes,Yes,No,Farmer,No,Yes,No,No,No,3.7,Postgraduate,No
1980,Chemical,5.39,87.9,ICSE,Marathi,Rajkot,Personal bike,10-15,Yes,2,Male,Yes,Single-parent,4,No,No,Yes,Govt. Employee,No,No,Yes,Yes,No,22.8,High School,No
1981,Chemical,9.27,84.62,State Board,Gujarati,Rajkot,University Bus,Above 20,Yes,2,Other,Yes,Orphaned,1,No,No,Yes,Other,No,Yes,Yes,No,No,26.1,Undergraduate,No
1982,CSE,7.94,70.95,CBSE,English,Bharuch,Personal bike,10-15,No,1,Other,No,Orphaned,4,No,No,No,Other,No,No,Yes,No,No,47.2,Postgraduate,Yes
1983,CSE,5.18,56.68,CBSE,Gujarati,Bharuch,Personal car,Above 20,No,1,Female,No,Both parents,3,No,Yes,No,Other,No,No,Yes,Yes,Yes,32.3,Postgraduate,No
1984,FEHS,7.13,72.9,ICSE,Gujarati,Vadodara,Personal bike,5-10,Yes,4,Male,No,Orphaned,5,No,Yes,No,Govt. Employee,Yes,No,No,Yes,No,46.8,Undergraduate,No
1985,CSE,7.35,87.99,CBSE,Marathi,Surat,Personal bike,5-10,No,2,Male,Yes,Single-parent,1,No,No,Yes,Business,Yes,Yes,No,Yes,No,8.7,High School,No
1986,FEHS,7.04,59.95,CBSE,Marathi,Bharuch,Public Transport,Below 5,No,2,Male,Yes,Orphaned,5,Yes,Yes,Yes,Farmer,No,No,Yes,No,Yes,15.7,High School,No
1987,Chemical,6.55,99.02,CBSE,Hindi,Bharuch,University Bus,15-20,No,3,Other,No,Both parents,3,No,Yes,Yes,Govt. Employee,No,Yes,Yes,Yes,Yes,17.8,High School,Yes
1988,CSE,6.23,75.17,CBSE,English,Ahmedabad,Personal car,Below 5,Yes,2,Male,No,Both parents,5,Yes,Yes,No,Other,No,Yes,No,No,No,12.4,Postgraduate,Yes
1989,BBA,7.01,52.58,CBSE,Gujarati,Ahmedabad,University Bus,15-20,No,5,Male,Yes,Both parents,5,No,No,No,Labour,No,No,No,No,No,46.1,High School,No
1990,BBA,7.83,82.01,State Board,English,Surat,Public Transport,Above 20,Yes,3,Male,No,Orphaned,4,No,No,Yes,Business,Yes,No,No,Yes,No,10.6,Postgraduate,No
1991,FEHS,9.72,84.47,CBSE,Gujarati,Surat,Personal car,5-10,Yes,4,Male,No,Both parents,3,No,No,No,Govt. Employee,Yes,Yes,Yes,Yes,Yes,9.9,Undergraduate,Yes
1992,FEHS,8.09,79.94,CBSE,Hindi,Ahmedabad,Public Transport,Below 5,Yes,1,Other,Yes,Both parents,3,Yes,Yes,No,Labour,Yes,No,Yes,Yes,Yes,29.2,Undergraduate,No
1993,FEHS,7.18,93.9,State Board,Marathi,Vadodara,Public Transport,Below 5,Yes,1,Male,No,Orphaned,5,Yes,Yes,Yes,Labour,Yes,No,No,No,No,36.3,Postgraduate,Yes
1994,FEHS,6.37,52.05,ICSE,Marathi,Rajkot,Public Transport,10-15,Yes,5,Female,No,Both parents,4,No,Yes,Yes,Farmer,Yes,No,No,No,Yes,23.6,High School,No
1995,FEHS,5.87,69.37,State Board,Marathi,Ahmedabad,Personal bike,15-20,No,4,Male,Yes,Single-parent,2,Yes,No,Yes,Labour,Yes,No,No,No,No,27.8,High School,Yes
1996,FEHS,5.38,60.41,State Board,Hindi,Vadodara,Personal bike,10-15,Yes,4,Other,No,Orphaned,4,Yes,No,Yes,Business,Yes,Yes,No,Yes,Yes,41.9,High School,Yes
1997,Chemical,7.43,70.57,CBSE,Hindi,Rajkot,Personal bike,Above 20,Yes,1,Male,Yes,Orphaned,4,No,Yes,No,Other,No,Yes,Yes,No,No,29.6,High School,No
1998,Chemical,6.26,95.0,State Board,Marathi,Vadodara,Public Transport,Above 20,Yes,5,Other,No,Orphaned,1,Yes,No,Yes,Business,No,No,No,Yes,Yes,44.7,Undergraduate,No
1999,BBA,7.88,61.64,State Board,Gujarati,Vadodara,Personal bike,15-20,No,4,Female,Yes,Single-parent,4,Yes,No,No,Farmer,No,Yes,Yes,No,No,40.6,Postgraduate,Yes
